,0,1,2,3,4,5,6,7,8
[ 0  0 -1  0 -1  0  1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0
[ 0 -1 -1  1 -1  0  1  0  1],0.9999848191795933,0.0,0.0,0.0,0.0,-0.1,0.0,0.10009000000000001,0.0
[0 0 0 0 0 0 1 0 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0 -1  0  0  0  1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0 -1  1 -1  0  1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1 -1  1 -1  0  1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  0  0  0  0  1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  0 -1  0  1  1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  0 -1  0  1  1 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  0 -1  1  1  1 -1 -1],0.0,0.0,0.9989999999999994,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  0  0  0  1  1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  0 -1  0  1  1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  0 -1  1  1  1 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  1 -1  1  1  1 -1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0 -1  0 -1  1  0  0  0],0.0,-0.269408459748424,0.0,-0.3280991701550392,0.0,0.0,0.0,-0.08371440311672056,-0.19828804811742423
[ 1 -1 -1  1 -1  1  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.9911907612468621,0.0,-0.19
[ 1  0  0  0 -1  1  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0 -1  1 -1  1  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1 -1  1 -1  1  1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  0  0  0  0  0  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  0 -1  0  1  0  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  1 -1  0  1  0 -1 -1],0.9998617523001323,0.0,0.0,0.0,-0.11405781000000001,0.0,0.0,0.0,0.0
[0 1 0 0 0 0 0 0 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  0  0  0  1  0  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  1 -1  0  1  0  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  1 -1  1  1  0 -1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  1  0  0  0 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  0  0  1 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
[ 0 -1  1 -1  1  1 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017910000000000002,0.9930681955091294
[0 0 1 0 0 0 0 0 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  1  0  0  1 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  0  1  1 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1 -1  1  1 -1  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0 -1  0  0  0  0  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0 -1  0  0 -1  1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0
[ 0  1 -1 -1  0 -1  1  0  1],-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.9999998415579309,0.0
[0 0 0 0 0 0 0 0 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1 -1  0  0 -1  1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1 -1 -1  0 -1  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  1  0  0  0  0 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  1  0 -1  0  0 -1  1],-0.14304672100000002,0.0,0.0,-0.2299202659,0.0,0.9999999999999996,-0.108010981,0.0,0.0
[ 0  0  1  0  0  0  0 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  1  0 -1  1  0 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  0  1  0 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  0  1  1 -1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  0  0  1  1  1 -1 -1],0.0,0.0,0.9999983573494293,0.27901171,0.0,0.0,0.0,0.0,0.0
[-1  1 -1  0  1  1  1 -1 -1],0.0,0.0,0.0,0.9989999999999994,0.0,0.0,0.0,0.0,0.0
[0 0 0 0 0 1 0 0 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  0  1  1 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  1  1  1 -1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  0  0  1  1  1 -1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1 -1  1  1  1  1 -1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  0 -1  0  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  1 -1  0 -1  1],0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  0  0  1 -1  0 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  1 -1  1 -1  0 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.9982793185663192,0.0,0.0
[ 0  0  0  0  1 -1  0  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  0  0  1 -1  0 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  1  0  1 -1  0 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  1 -1  1 -1  1 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  0  0  0  1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  0  0 -1  0  0  1 -1],0.0,0.0,-0.1242738583206366,-0.22719510522690828,0.0,-0.18161184216003018,-0.07453269876086616,0.0,0.0
[ 0  1  0  0 -1  1 -1  1 -1],-0.46398090695689953,0.0,-0.686588503230481,-0.995542101626539,0.0,0.0,0.0,0.0,0.0
[0 0 0 0 0 0 0 1 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  0  0  0  0  0  1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  0  0 -1  1  0  1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  1  0  0 -1  1 -1  1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  0 -1  0  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  1 -1  0  0  0  0 -1],0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  1 -1  1  0  0  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.9999739458278949,0.1,0.0
[ 0  1  1 -1  0  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  1 -1  1  0  0  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  1 -1  1  0  1  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  0  0  1  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  1  0  1  0  0 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0,0.0
[0 0 0 0 1 0 0 0 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  1  0  1  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  1  0  1  0  1 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  1  0  0 -1  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  1 -1  0 -1  1  0  0],-0.007144929000000001,-0.11456340282639074,0.0,0.0,0.9999999999999996,0.0,0.0,-0.01304333361,-0.1
[ 0 -1  1 -1  0 -1  1  1  0],-0.081729,0.0,0.0,0.0,0.2710729,0.0,0.0,0.0,0.9970436929910851
[ 0  0  1  0  0 -1  1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  1 -1  0 -1  1  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1 -1  0 -1  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  0  0 -1  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  1  0  0 -1 -1  0  0  0],0.0,0.0,0.9999999999999996,0.0,0.0,0.0,-0.09809919,-0.10462237422448131,-0.16081870107069002
[ 1  1  0  0 -1  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  1  0  0 -1 -1  0  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  1  0 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0 -1  0  1  0 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
[ 1  0 -1  1  1  0 -1  0 -1],0.0,-0.190081,0.0,0.0,0.0,0.9999863127607409,0.0,-0.1017991,0.0
[ 1  0  0  0  1  0 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0 -1  1  1  0 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0 -1  1  1  1 -1  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  1  0  0 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0  0  0  1 -1  0 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
[ 1  1  0 -1  1 -1  0 -1  0],0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9949129567472178
[ 1  1 -1 -1  1 -1  1 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987215162023289
[ 1  0  0  0  1  0  0 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  1  0  0  1 -1  0 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  1  0 -1  1 -1  1 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  1 -1 -1  1 -1  1 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0 -1  1  1  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.9999999999999996,-0.10305639,0.0,0.0
[-1  0 -1  1  1  0  1 -1  0],0.0,0.0,0.0,0.0,0.0,0.9974566879822712,0.0,0.0,-0.10891
[-1  1 -1  1  1 -1  1 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989999701577539
[-1  0  0  1  1  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0 -1  1  1  0  1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1 -1  1  1  0  1 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1 -1  1  1 -1  1 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0  0  0  1  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  0  0  1  0  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  1  0  1 -1  0 -1],-0.0989019,0.0,0.0,0.0,0.9998135393814663,0.0,0.0,0.0,0.0
[ 0 -1  1  1 -1  1 -1  1 -1],0.9989999999999938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  0  0  1  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  1  0  1  0  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  1  0  1 -1  1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1  1  1 -1  1 -1  1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  1 -1 -1  0  0  0  0],0.9999999999999996,0.0,0.0,0.0,0.0,0.0,-0.005314410000000001,-0.007201887867341085,-0.10606853558196452
[ 0  1  1  0 -1  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  1  1 -1 -1  0  0  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0  0  1  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  0  1  0 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  1  1  0 -1  0 -1],-0.009801090000000002,0.0,0.0,0.0,0.0,0.9997934405212316,0.0,0.0,0.0
[ 0 -1  1  0  1  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  1  1  0 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1  1  1  1  0 -1  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  1  0  0  0  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0  0  1  0  0  0 -1 -1],0.0,-0.09798322562126618,-0.016434609331419003,0.0,-0.1629,-0.26091909559000004,0.9999999999999996,0.0,0.0
[ 1  0  0  1  0  0  0  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  1  0  1  0  0  0 -1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0 -1  0  0  0  0  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0 -1  0  0  1  0  1  0],0.0,0.0,0.0,-0.17946038251660928,-0.1133264255880247,0.0,-0.2027514740106341,0.0,-0.20388652663303153
[-1  1 -1  0  0  1 -1  1  0],0.0,0.0,0.0,-0.0199,0.99999966751164,0.0,0.0,0.0,-0.109891
[ 0  0 -1  0  0  1  0  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1 -1  0  0  1  0  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1 -1  1  0  1 -1  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  0  0 -1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  0  0  0 -1  0  1],0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0,0.0,0.0
[ 0 -1  1 -1  1  0 -1  0  1],0.9772549921761977,0.0,0.0,0.0,0.0,0.0,0.0,-0.11791,0.0
[ 0  0  1  0  0  0 -1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  0  1  0 -1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1 -1  1  0 -1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0 -1  0  0  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1 -1  0  0  0  1  0  0],0.0,0.0,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0
[ 1  0 -1  0  0  0  1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1 -1  1  0  0  1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0  0  0  0  0 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0  1 -1  0  0 -1  0  0],0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0  1 -1 -1  0 -1  0  1],0.0,0.0,0.0,0.0,0.0,0.9999896272436886,0.0,-0.2717289271,0.0
[ 1 -1  1 -1 -1  0 -1  1  1],0.0,0.0,0.0,0.0,0.0,0.9989999973724948,0.0,0.0,0.0
[ 1  0  1  0  0  0 -1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0  1 -1  0  0 -1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0  1 -1 -1  0 -1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1  1 -1 -1  1 -1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0  1 -1  0  1  0  0],0.9999999999999996,0.0,-0.11299143610000001,0.0,0.0,-0.013570304607261,0.0,0.0,-0.09
[ 0 -1 -1  1 -1  0  1  1  0],0.190081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999966875743499
[ 0 -1  0  1  0  0  1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0  1 -1  0  1  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1 -1  1 -1  0  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  1  0  0 -1  0  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  1  0  0 -1  0  1 -1],0.0,0.0,0.0,0.0,0.9996696075649868,0.0,0.0,0.0,0.0
[ 0  0  1  0  0 -1  0  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  1  0  0 -1  0  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  1  0  1 -1  0  1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0  0  0  0  0  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0  0 -1  0  0  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0,0.0
[ 0 -1 -1  0 -1  1  0  1  1],-0.1,0.0,0.0,-0.109,0.0,0.0,0.9910853348696205,0.0,0.0
[ 1 -1 -1 -1 -1  1  0  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.9989999472872563,0.0,0.0
[ 0 -1  0  0  0  0  0  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0  0 -1  1  0  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1 -1  0 -1  1  0  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1 -1 -1 -1  1  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1 -1  0  1  0  0  1  0  0],0.0,0.0,0.0,0.0,-0.16650469197313306,-0.22759727422728782,0.0,-0.10282802356557878,-0.189527292248458
[-1 -1  0  1  0 -1  1  0  1],0.0,0.0,0.0,0.0,-0.009999,0.0,0.0,0.9999390803530754,0.0
[-1 -1  1  1  0 -1  1 -1  1],0.0,0.0,0.0,0.0,0.9989920569908024,0.0,0.0,0.0,0.0
[-1 -1  0  1  0  0  1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1 -1  1  1  0 -1  1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  0  0  1  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  0  0  1  0  1  0 -1],0.0,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  0  1  0  1  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  0  0  1  1  1  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  1  0  1  1  1 -1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  0  0  0  0  0  0  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  0  0  0  0 -1  1  0],0.0,0.0,-0.1,0.0,0.9999999999999996,-0.0707665710132621,0.0,0.0,-0.10531441000000001
[-1  1  0  1  0  0 -1  1 -1],0.0,0.0,-0.1597989951,0.0,0.9999999877884383,-0.27901171,0.0,0.0,0.0
[-1  1 -1  1  0  1 -1  1 -1],0.0,0.0,0.0,0.0,0.6728386197580973,0.0,0.0,0.0,0.0
[-1  1  0  0  0  0  0  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  0  1  0  0 -1  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1  0  1  0  1 -1  1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1  1 -1  1  1  1 -1  1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0  1  0  1  0  0 -1],0.0,0.0,0.0,0.0,0.9999999999999996,0.0,0.0,0.0,0.0
[ 1 -1  0  1  0  1  0 -1 -1],0.0,0.0,-0.10009000000000001,0.0,0.10009000000000001,0.0,0.9741423016955898,0.0,0.0
[ 0 -1  0  1  0  1  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1  0  1  0  1  0  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1  0  1  0  1  1 -1 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  0  1  0 -1  1  0 -1],0.9999999999999996,-0.16961436159510962,0.0,0.0,-0.19,0.0,0.0,-0.0008991000000000001,0.0
[ 0 -1  1  1  0 -1  1  0 -1],0.9989996152228587,0.0,0.0,0.0,0.1981,0.0,0.0,0.0,0.0
[ 0  0  0  1  0  0  1  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0  1  1  0 -1  1  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1 -1  1  1  0 -1  1  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0  0  1  1  0 -1  0],0.0,0.0,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0
[-1 -1  1  0  1  1  0 -1  0],0.0,0.0,0.0,0.6200023315123315,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0  0  1  1  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  0  1  1  0 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1 -1  1  1  1  1  0 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0 -1  1  1  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1 -1  1  1  0  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.9999590737779657,0.0,0.0
[ 1 -1  1 -1  1  1 -1  0 -1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987542764724016,0.0
[ 0 -1  1 -1  1  1  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
